Feasible
Restart 13, Repetition 6640 


Total cost: 649.5601254612607

Number of Routes: 11
Priority 1: 0.8

Priority 2: 0.96



Route 0
Location Option Customer

0 - -

107 55 47

107 2 2

107 71 55

107 77 58

107 6 6

118 154 84

118 108 69

118 12 12

25 48 44

0 - -

Route 1
Location Option Customer

0 - -

10 29 29

103 67 53

43 86 62

101 142 80

113 94 64

113 132 77

113 47 43

113 53 46

23 44 42

8 27 27

0 - -

Route 2
Location Option Customer

0 - -

96 192 97

77 164 88

117 136 78

117 16 16

117 14 14

90 183 94

103 148 82

103 51 45

103 17 17

0 - -

Route 3
Location Option Customer

0 - -

22 42 41

112 96 65

38 74 57

64 144 81

115 57 48

115 175 91

115 126 75

115 73 56

115 19 19

9 28 28

0 - -

Route 4
Location Option Customer

0 - -

6 25 25

111 157 85

111 111 70

111 63 51

81 170 90

14 33 33

13 32 32

108 3 3

108 11 11

108 9 9

0 - -

Route 5
Location Option Customer

0 - -

119 115 71

119 151 83

119 79 59

2 21 21

33 64 52

104 124 74

104 5 5

104 0 0

20 39 39

0 - -

Route 6
Location Option Customer

0 - -

114 160 86

114 59 49

114 106 68

53 116 72

91 185 95

48 101 67

87 179 93

0 - -

Route 7
Location Option Customer

0 - -

106 8 8

106 18 18

106 4 4

106 129 76

42 83 61

4 23 23

44 89 63

16 35 35

19 38 38

31 60 50

0 - -

Route 8
Location Option Customer

0 - -

116 138 79

116 100 66

116 15 15

12 31 31

86 177 92

7 26 26

1 20 20

35 68 54

79 167 89

0 - -

Route 9
Location Option Customer

0 - -

54 119 73

5 24 24

98 195 98

3 22 22

94 189 96

110 13 13

110 10 10

110 1 1

15 34 34

11 30 30

0 - -

Route 10
Location Option Customer

0 - -

18 37 37

99 197 99

41 80 60

17 36 36

120 41 40

120 7 7

120 163 87

0 - -

