Feasible
Restart 6, Repetition 7135 


Total cost: 3558

Number of Routes: 5
Priority 1: 0.8

Priority 2: 1



Route 0
Location Option Customer

0 - -

40 7 7

40 10 10

8 19 19

38 74 49

22 42 33

15 28 26

11 22 22

21 40 32

43 25 24

41 45 34

41 71 47

0 - -

Route 1
Location Option Customer

0 - -

48 33 28

48 57 40

47 1 1

47 49 36

47 63 43

37 72 48

10 21 21

12 23 23

35 68 46

0 - -

Route 2
Location Option Customer

0 - -

1 12 12

39 8 8

39 6 6

39 27 25

39 2 2

28 54 39

44 53 38

44 35 29

44 0 0

7 18 18

0 - -

Route 3
Location Option Customer

0 - -

6 17 17

45 3 3

45 11 11

45 4 4

45 9 9

45 5 5

26 50 37

9 20 20

41 39 31

41 31 27

0 - -

Route 4
Location Option Customer

0 - -

2 13 13

46 37 30

46 65 44

46 47 35

42 59 41

42 67 45

42 61 42

4 15 15

3 14 14

5 16 16

0 - -

